dealer,totalQty
RAJD000051,3
RAJD000282,52
RAJD00029210,3
RAJD00029229,8
RAJD00029238,13
RAJD00029243,2
RAJD00029244,2
RAJD00029248,2
RAJD00029270,3
RAJD00029286,2
RAJD00029304,2
RAJD00029330,1
RAJD00029343,3
RAJD00029363,12
RAJD00029404,2
RAJD00029451,15
RAJD00029469,6
RAJD00029470,412
RAJD00029472,7
RAJD00029513,19
RAJD00029523,25
RAJD00029562,3
RAJD00029577,1
RAJD00029672,14
RAJD00029700,196
RAJD00029701,1
RAJD00029781,152
RAJD00029801,406
RAJD00029902,5
RAJD00029919,24
RAJD00030058,5
RAJD00030094,3
RAJD00030150,10
RAJD00030216,1
RAJD00030217,7
RAJD00030227,1
RAJD00030269,4
RAJD00030295,1
RAJD00030301,2
RAJD00030308,1
RAJD00030332,9
RAJD00030333,2
RAJD00030336,6
RAJD00030342,1
RAJD00030355,2
RAJD00030356,2
RAJD00030364,5
RAJD00030369,2
RAJD00030385,2
RAJD00030398,3
RAJD00030399,15
RAJD00030400,38
RAJD00030424,15
RAJD00030475,4
RAJD00030476,4
RAJD00030489,3
RAJD00030508,8
RAJD00030517,3
RAJD00030523,6
RAJD00030539,4
RAJD00030541,2
RAJD00030544,9
RAJD00030547,1
RAJD00030550,29
RAJD00030573,3
RAJD00030575,28
RAJD00030578,11
RAJD00030582,2
RAJD00030585,22
RAJD00030597,6
RAJD00030638,3
RAJD00030648,5
RAJD00030654,3
RAJD00030661,1
RAJD00030671,9
RAJD00030676,10
RAJD00030678,10
RAJD000328,1
RAJD000364,30
RAJD000365,2
RAJD000510,2
RAJD000639,8
RAJD000644,3
RAJD000646,4
RAJD000649,5
RAJD000650,134
RAJD000651,21
RAJD000652,1
RAJD000679,5
RAJD000752,3
RAJD000994,5
RAJD001065,3
RAJD001067,54
RAJD001108,3
RAJD001293,1
RAJD001329,1
RAJD001704,1
RAJD001768,3
RAJD001895,1
RAJD002068,11
RAJD002110,5
RAJD002311,1
RAJD002343,1
RAJD002352,7
RAJD002458,2
RAJD002484,3
RAJD002486,2
RAJD002487,1
RAJD002545,111
RAJD002710,7
RAJD002738,3
RAJD002824,74
RAJD002860,1
RAJD002919,6
RAJD002920,70
RAJD003009,2
RAJD003013,1
RAJD003014,1
RAJD003087,330
RAJD003154,40
RAJD003238,64
RAJD003248,11
RAJD003257,8
RAJD003356,1
RAJD003464,1
RAJD003493,4
RAJD003501,5
RAJD003719,4
RAJD003727,44
RAJD003729,10
RAJD003730,5
RAJD003740,54
RAJD003768,12
RAJD003780,2
RAJD003789,3
RAJD003790,1
RAJD003823,3
RAJD003824,4
RAJD003828,1
RAJD003907,9
RAJD004022,5
RAJD004024,1
RAJD004053,3
RAJD004110,12
RAJD004154,1
RAJD004219,16
RAJD004355,11
RAJD004370,1
RAJD004497,31
RAJD004573,4
RAJD004576,7
RAJD004709,2
RAJD004814,90
RAJD004888,2
RAJD004913,3
RAJD005034,15
RAJD005086,3
RAJD005091,4
RAJD005191,27
