Code,Town,Name
JPR259,Achrol,Achrol - Kookas
JPR259,Achrol,Achrol - Kookas
JPR156,Kanota,Bassi - Kanota
JPR156,Kanota,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Bassi ,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Bassi ,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Agra Road,
JPR156,Agra Road,Agra Road
JPR156,Bassi ,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Kanota,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Agra Road,Agra Road
JPR156,Kanota,Bassi - Kanota
JPR156,Agra Road,
JPR156,Agra Road,
JPR156,Bassi ,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Bassi ,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Kanota,Bassi - Kanota
JPR156,Agra Road,Agra Road
JPR156,Agra Road,
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
JPR259,Amer Chak No.1,Amer    
JPR259,Amer Chak No.1,Amer    
JPR259,Amer Chak No.1,Amer    
JPR145,Antah ,Baran
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,N/A,
JPR259,Bagru ,Bagru
JPR259,Bagru ,Bagru
JPR259,Bagru Ricco,Bagru
JPR259,Bagru ,Bagru
JPR274,Bamanwas Patti Kalan,Gangapur City
JPR156,Bandikui ,
JPR156,Bandikui ,Bandikui
JPR156,Bandikui ,
JPR156,Bandikui ,Bandikui
JPR156,Bandikui ,Bandikui
JPR156,Bandikui ,Bandikui
JPR156,Bandikui ,Bandikui
JPR274,Banetha,Aligarh - Uniara
JPR120,sultanpur,Itawa
JPR120,Bapawar Kalan,Itawa
JPR145,Samraniya,Shahbad
JPR145,Baran ,Baran
JPR145,Chhabra ,Chhabra
JPR145,Baran ,
JPR145,Baran ,Baran
JPR145,Baran ,
JPR145,Siswali,
JPR145,Chhipabarod ,Chhabra
JPR145,Baran ,Baran
JPR145,Baran ,Baran
JPR145,Baran ,Baran
JPR145,Baran ,Baran
JPR120,Bargaon,
JPR120,Bargaon,
JPR182,Bari ,Bari - Baseri
JPR182,Bari ,
JPR182,Bari ,Bari - Baseri
SID001,#REF!,
SID001,#REF!,
SID006,Baroda Meo,Govindagarh - Baroda Meo
JPR156,Vatika,Vatika - Shivdaspura
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Bayana ,Bayana - Weir
JPR182,Rudawal,Rupbas - Rudawal
JPR182,Rudawal,Rupbas - Rudawal
JPR182,Bayana ,Bayana - Weir
SID006,Baroda Meo,Govindagarh - Baroda Meo
JPR156,Behror ,Behror
JPR156,Behror ,Behror
JPR156,Behror ,Behror
JPR156,Behror ,Behror
JPR182,Baseri,Bari - Baseri
JPR182,Baseri,Bari - Baseri
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
JPR182,Bharatpur ,Bharatpur
