Code,Town
RAJD014564,Achrol
RAJD013646,Achrol
RAJD003087,Kanota
RAJD10511,Kanota
RAJD015469,Agra Road
RAJD008484,Agra Road
RAJD017774,Agra Road
RAJD12358,Bassi 
RAJD015445,Agra Road
RAJD9112,Bassi 
RAJD017637,Agra Road
RAJD016250,Agra Road
RAJD015423,Agra Road
RAJD014786,Agra Road
RAJD014796,Agra Road
RAJD018280,Agra Road
RAJD005675,Bassi 
RAJD013535,Agra Road
RAJD014745,Kanota
RAJD00029309,Agra Road
RAJD00029286,Agra Road
RAJD7451,Kanota
RAJD9717,Agra Road
RAJD017651,Agra Road
RAJD018363,Bassi 
RAJD15277,Agra Road
RAJD015263,Bassi 
RAJD006719,Agra Road
RAJD015750,Kanota
RAJD9100,Agra Road
RAJD017758,Agra Road
RAJD003014,Alwar 
RAJD8207,Alwar 
RAJD7701,Alwar 
RAJD6701,Alwar 
RAJD015456,Alwar 
RAJD015454,Alwar 
RAJD016720,Alwar 
RAJD12192,Alwar 
RAJD1030,Alwar 
RAJD013161,Alwar 
RAJD7652,Alwar 
RAJD6570,Alwar 
RAJD009444,Alwar 
RAJD10337,Alwar 
RAJD1009,Alwar 
RAJD1052,Alwar 
RAJD16450,Alwar 
RAJD1010,Alwar 
RAJD004913,Alwar 
RAJD16953,Alwar 
RAJD17192,Alwar 
RAJD007385,Alwar 
RAJD014608,Alwar 
RAJD7913,Alwar 
RAJD7699,Alwar 
RAJD017208,Alwar 
RAJD1027,Alwar 
RAJD016232,Alwar 
RAJD001259,Amer Chak No.1
RAJD004700,Amer Chak No.1
RAJD013812,Amer Chak No.1
RAJD13375,Antah 
RAJD9271,Bagru 
RAJD6212,Bagru 
RAJD10215,Bagru 
RAJD014761,Bagru 
RAJD6209,Bagru 
RAJD6264,Bagru 
RAJD7691,Bagru 
RAJD11852,Bagru 
RAJD6223,Bagru 
RAJD13922,Bagru 
RAJD007430,Bagru 
RAJD7665,Bagru 
RAJD011320,N/A
RAJD13923,Bagru 
RAJD15753,Bagru 
RAJD008364,Bagru Ricco
RAJD13921,Bagru 
RAJD016221,Bamanwas Patti Kalan
RAJD009443,Bandikui 
RAJD16555,Bandikui 
RAJD000326,Bandikui 
RAJD8442,Bandikui 
RAJD6731,Bandikui 
RAJD11050,Bandikui 
RAJD8443,Bandikui 
RAJD016726,Banetha
RAJD017269,sultanpur
RAJD017275,Bapawar Kalan
RAJD017135,Samraniya
RAJD7029,Baran 
RAJD016120,Chhabra 
RAJD002903,Baran 
RAJD014554,Baran 
RAJD017114,Baran 
RAJD017049,Siswali
RAJD016064,Chhipabarod 
RAJD016941,Baran 
RAJD12650,Baran 
RAJD016062,Baran 
RAJD016060,Baran 
RAJD16278,Bargaon
RAJD6553,Bargaon
RAJD012183,Bari 
RAJD7186,Bari 
RAJD14872,Bari 
RAJD4131,Barkat Nagar
RAJD005034,Barkat Nagar
RAJD011357,Baroda Meo
RAJD007977,Vatika
RAJD017009,Bayana 
RAJD011897,Bayana 
RAJD12517,Bayana 
RAJD015975,Bayana 
RAJD15431,Bayana 
RAJD000639,Bayana 
RAJD008458,Bayana 
RAJD007712,Rudawal
RAJD009680,Rudawal
RAJD016037,Bayana 
RAJD005613,Baroda Meo
RAJD006934,Behror 
RAJD016617,Behror 
RAJD012363,Behror 
RAJD006122,Behror 
RAJD004371,Baseri
RAJD003463,Baseri
RAJD9556,Bharatpur 
RAJD004223,Bharatpur 
RAJD004099,Bharatpur 
RAJD17591,Bharatpur 
RAJD6140,Bharatpur 
RAJD002378,Bharatpur 
RAJD008879,Bharatpur 
RAJD003848,Bharatpur 
RAJD003154,Bharatpur 
RAJD003998,Bharatpur 
RAJD6149,Bharatpur 
RAJD9553,Bharatpur 
RAJD006614,Bharatpur 
RAJD6148,Bharatpur 
RAJD6156,Bharatpur 
RAJD9956,Bharatpur 
RAJD3014,Bharatpur 
RAJD015290,Bhawani Mandi 
RAJD016485,Choumela
RAJD016487,Bhawani Mandi 
RAJD016257,Bhawani Mandi 
RAJD009278,Bhiwadi 
RAJD8549,Bhiwadi 
RAJD008220,Bhiwadi 
RAJD015236,Bhiwadi 
RAJD4557,Bhiwadi 
RAJD6849,Bhiwadi 
RAJD6851,Bhiwadi 
RAJD015227,Bhiwadi 
RAJD001286,Bhiwadi 
RAJD15149,Bhiwadi 
RAJD8742,Bhiwadi 
RAJD008221,Bhiwadi 
RAJD015276,Bhiwadi 
RAJD16424,Bhiwadi 
RAJD9139,Bhiwadi 
RAJD15797,Bhiwadi 
RAJD11176,Bhiwadi 
RAJD000453,Bhiwadi 
RAJD16459,Bhiwadi 
RAJD016627,Bhiwadi 
RAJD11172,Bhiwadi 
RAJD15429,Bhusawar 
RAJD015976,Bhusawar 
RAJD9321,Bichoon
RAJD004866,Bonl
RAJD016453,Bundi    
RAJD7209,Bundi    
RAJD003789,Bundi    
RAJD015968,Bundi    
RAJD14819,Bundi    
RAJD7203,Bundi    
RAJD16060,Bundi    
RAJD016020,Bundi    
RAJD14492,Bundi    
RAJD14489,Bundi    
RAJD003768,Chaksu 
RAJD013202,Chaksu 
RAJD12376,Chaksu 
RAJD007220,Chaksu 
RAJD13181,Goner Mod
RAJD7446,Chaksu 
RAJD013303,Chaksu 
RAJD014604,Chaksu 
RAJD13759,Chandwaji
RAJD012220,Chandwaji
RAJD16108,Chechat 
RAJD14379,Chechat 
RAJD016945,Chhabra 
RAJD10710,Chhabra 
