mdd_code,model_code,vol_tgt,month,year,dp,segment,zone
RAJR015258,F966BD,1,9,2025,173999,Above 100K,Jaipur
RAJR015258,S938BB,2,9,2025,128999,Above 100K,Jaipur
RAJR015258,S931BC,3,9,2025,79999,70-100k,Jaipur
RAJR015258,S921BC,1,9,2025,69999,40-70k,Jaipur
RAJR015258,S921BB,3,9,2025,63999,40-70k,Jaipur
RAJR015258,A566EH,2,9,2025,43688,40-70k,Jaipur
RAJR015258,A566EG,1,9,2025,40776,40-70k,Jaipur
RAJR015258,A566EZ,1,9,2025,37863,30-40k,Jaipur
RAJR015258,A366EN,1,9,2025,35921,30-40k,Jaipur
RAJR015258,A366EK,3,9,2025,33009,30-40k,Jaipur
RAJR015258,A366EJ,6,9,2025,30096,30-40k,Jaipur
RAJR015258,A266BL,1,9,2025,27183,20-30k,Jaipur
RAJR015258,A266BK,2,9,2025,24271,20-30k,Jaipur
RAJR015258,A266BM,1,9,2025,22815,20-30k,Jaipur
RAJR015258,A176BN,4,9,2025,22815,20-30k,Jaipur
RAJR015258,M356BD,2,9,2025,21499,20-30k,Jaipur
RAJR015258,M356BB,1,9,2025,19999,15-20k,Jaipur
RAJR015258,M366BB,1,9,2025,19999,15-20k,Jaipur
RAJR015258,A176BM,12,9,2025,19902,15-20k,Jaipur
RAJR015258,A166PH,1,9,2025,18446,15-20k,Jaipur
RAJR015258,A176BL,16,9,2025,18446,15-20k,Jaipur
RAJR015258,A166PB,6,9,2025,16989,15-20k,Jaipur
RAJR015258,E176BB,3,9,2025,15999,10-15k,Jaipur
RAJR015258,A066BH,1,9,2025,15048,15-20k,Jaipur
RAJR015258,E156BG,1,9,2025,14999,10-15k,Jaipur
RAJR015258,E166PG,2,9,2025,14999,10-15k,Jaipur
RAJR015258,E176BA,8,9,2025,14499,10-15k,Jaipur
RAJR015258,A066BG,8,9,2025,13591,10-15k,Jaipur
RAJR015258,E156BD,1,9,2025,13499,10-15k,Jaipur
RAJR015258,E166PD,4,9,2025,13499,10-15k,Jaipur
RAJR015258,E066BH,1,9,2025,12999,10-15k,Jaipur
RAJR015258,M066BH,1,9,2025,12999,10-15k,Jaipur
RAJR015258,A066BD,6,9,2025,12135,10-15k,Jaipur
RAJR015258,E066BG,1,9,2025,11499,10-15k,Jaipur
RAJR015258,M066BG,2,9,2025,11499,10-15k,Jaipur
RAJR015258,A065FG,1,9,2025,11199,10-15k,Jaipur
RAJR015258,E066BD,2,9,2025,9999,Less than 10K,Jaipur
RAJR015258,M066BD,3,9,2025,9999,Less than 10K,Jaipur
RAJR015258,A065FD,12,9,2025,9749,Less than 10K,Jaipur
RAJR015258,E145FD,1,9,2025,8999,Less than 10K,Jaipur
RAJR015258,M145FD,1,9,2025,8999,Less than 10K,Jaipur
RAJR015258,M055FD,2,9,2025,7999,Less than 10K,Jaipur
RAJR015258,X216BE,1,9,2025,24999,TABLET,Jaipur
RAJD018725,S938BB,1,9,2025,128999,Above 100K,Jaipur
RAJD018725,S931BC,1,9,2025,79999,70-100k,Jaipur
RAJD018725,S921BC,1,9,2025,69999,40-70k,Jaipur
RAJD018725,S921BB,2,9,2025,63999,40-70k,Jaipur
RAJD018725,A566EH,1,9,2025,43688,40-70k,Jaipur
RAJD018725,A566EG,1,9,2025,40776,40-70k,Jaipur
RAJD018725,A366EK,1,9,2025,33009,30-40k,Jaipur
RAJD018725,A366EJ,2,9,2025,30096,30-40k,Jaipur
RAJD018725,A266BK,1,9,2025,24271,20-30k,Jaipur
RAJD018725,A176BN,2,9,2025,22815,20-30k,Jaipur
RAJD018725,M356BD,1,9,2025,21499,20-30k,Jaipur
RAJD018725,A176BM,3,9,2025,19902,15-20k,Jaipur
RAJD018725,A176BL,4,9,2025,18446,15-20k,Jaipur
RAJD018725,A166PB,1,9,2025,16989,15-20k,Jaipur
RAJD018725,E176BB,1,9,2025,15999,10-15k,Jaipur
RAJD018725,E176BA,2,9,2025,14499,10-15k,Jaipur
RAJD018725,A066BG,2,9,2025,13591,10-15k,Jaipur
RAJD018725,E166PD,1,9,2025,13499,10-15k,Jaipur
RAJD018725,A066BD,1,9,2025,12135,10-15k,Jaipur
RAJD018725,M066BG,1,9,2025,11499,10-15k,Jaipur
RAJD018725,A065FD,1,9,2025,9749,Less than 10K,Jaipur
RAJD018725,X216BE,1,9,2025,24999,TABLET,Jaipur
RAJD018725,A366EJ,1,9,2025,30096,30-40k,Jaipur
RAJD018725,A176BN,1,9,2025,22815,20-30k,Jaipur
RAJD018725,A176BM,1,9,2025,19902,15-20k,Jaipur
RAJD018725,A176BL,2,9,2025,18446,15-20k,Jaipur
RAJD018725,A166PB,1,9,2025,16989,15-20k,Jaipur
RAJR015258,S938BB,1,9,2025,128999,Above 100K,Jaipur
RAJR015258,S931BC,1,9,2025,79999,70-100k,Jaipur
RAJR015258,S921BC,1,9,2025,69999,40-70k,Jaipur
RAJR015258,S921BB,2,9,2025,63999,40-70k,Jaipur
RAJR015258,A566EH,1,9,2025,43688,40-70k,Jaipur
RAJR015258,A566EG,1,9,2025,40776,40-70k,Jaipur
RAJR015258,A366EK,2,9,2025,33009,30-40k,Jaipur
RAJR015258,A366EJ,3,9,2025,30096,30-40k,Jaipur
RAJR015258,A266BK,1,9,2025,24271,20-30k,Jaipur
RAJR015258,A176BN,3,9,2025,22815,20-30k,Jaipur
RAJR015258,M356BD,1,9,2025,21499,20-30k,Jaipur
RAJR015258,A176BM,2,9,2025,19902,15-20k,Jaipur
RAJR015258,A176BL,3,9,2025,18446,15-20k,Jaipur
RAJR015258,A166PB,1,9,2025,16989,15-20k,Jaipur
RAJR015258,E176BB,1,9,2025,15999,10-15k,Jaipur
RAJR015258,E166PG,1,9,2025,14999,10-15k,Jaipur
RAJR015258,E176BA,2,9,2025,14499,10-15k,Jaipur
RAJR015258,A066BG,3,9,2025,13591,10-15k,Jaipur
RAJR015258,E166PD,1,9,2025,13499,10-15k,Jaipur
RAJR015258,A066BD,2,9,2025,12135,10-15k,Jaipur
RAJR015258,M066BG,1,9,2025,11499,10-15k,Jaipur
RAJR015258,A065FD,2,9,2025,9749,Less than 10K,Jaipur
RAJR015258,S938BB,1,9,2025,128999,Above 100K,Jaipur
RAJR015258,S931BC,2,9,2025,79999,70-100k,Jaipur
RAJR015258,S921BC,1,9,2025,69999,40-70k,Jaipur
RAJR015258,S921BB,2,9,2025,63999,40-70k,Jaipur
RAJR015258,A566EH,1,9,2025,43688,40-70k,Jaipur
RAJR015258,A566EG,1,9,2025,40776,40-70k,Jaipur
RAJR015258,A366EK,1,9,2025,33009,30-40k,Jaipur
RAJR015258,A366EJ,2,9,2025,30096,30-40k,Jaipur
