Dealer Code,Dealer Name,Phone Number,Oct Tgt,Nov Tgt,Dec Tgt,Q4'25 Tgt,Oct  Ach,Aug Ach,Sep Ach,Q3'25 Ach
RAJD15449,GOYAL TELECOM-KAMAN,9928633333,70,35,35,140,2,,,2
RAJD6837,G.S.COMMUNICATION,7690961234,190,95,95,380,1,,,1
RAJD018903,DARGAN MOBILES,7742383878,75,38,37,150,4,,,4
RAJD001108,999 mobile,9982191919,65,33,32,130,0,,,0
RAJD4923,BHARTI ENTERPRISES,8955390006,140,70,70,280,0,,,0
RAJD002920,SAINI MOBILE,7062490593,100,50,50,200,10,,,10
RAJD8748,GOYAL MOBILE,9983054291,140,70,70,280,1,,,1
RAJD002919,SINGHAL MOBILE CENTER,8839890608,213,106,106,425,0,,,0
RAJD6254,shrma telecome,8003400918,133,66,66,265,3,,,3
RAJD012356,siddhi Vinayak mobile &electronics,8890077707,115,58,57,230,6,,,6
RAJD6253,devshree telecom,9829932536,155,78,77,310,24,,,24
RAJD011297,AKSHA MOBILE POINT,7014918843,113,56,56,225,5,,,5
RAJD017289,THE MOBILE HUB,8947861927,113,56,56,225,12,,,12
RAJD005480,SHARMA MOBILE & CARE CENTER,9782253333,150,75,75,300,5,,,5
RAJD015696,Shivay Mobile & Accessories,9928636323,150,75,75,300,5,,,5
RAJD1009,Ashok Gift House,9351720255,325,163,162,650,21,,,21
RAJD1030,Super Communication,9799411111,400,200,200,800,29,,,29
RAJD17192,Shri Sai Communication,9667413132,125,63,62,250,9,,,9
RAJD7701,Gurnanak Telecom,9887414141,70,35,35,140,8,,,8
RAJD009444,Khandelwal Telecom,9461405152,125,63,62,250,9,,,9
RAJD6149,Krishna Enterprises,9414225706,100,50,50,200,19,,,19
RAJD002378,J.P MOBILE WORLD,9636088888,100,50,50,200,6,,,6
RAJD003154,NIKKI ENTERPRISES,7014341017,110,55,55,220,18,,,18
RAJD6352,CHOICE PALACE,9828020189,65,33,32,130,6,,,6
RAJD5951,Frontier Communication,9828046520,90,45,45,180,2,,,2
RAJD011099,bharat communication,9784222786,138,69,68,275,2,,,2
RAJD5182,CHAHETI MOBILE & ASS.,9829869222,80,40,40,160,6,,,6
RAJD003130,kashwani & company (hotspot),8290044444,181,90,90,361,0,,,0
RAJD12650,mobile gellry,9950940463,149,75,74,298,3,,,3
RAJD015968,Sudarshan general store,7014555410,196,98,98,392,4,,,4
RAJD7203,BUNDI MOBILE SHOP,9001000603,177,88,88,353,1,,,1
RAJD001259,SHYAM ENTERPRISES,8696900984,118,59,58,235,2,,,2
RAJD5790,ASHISH MOBILE,8107555588,110,55,55,220,7,,,7
RAJD6152,Jet Communication,9784018105,120,60,60,240,9,,,9
RAJD7178,AASHIRWAD GARMENTS,9783864199,65,33,32,130,9,,,9
RAJD7182,ANURAG MOBILE,9314349441,235,118,117,470,10,,,10
RAJD9047,MANIK MOBILE POINT,9079144460,100,50,50,200,7,,,7
RAJD009547,ganga mobile point,9587999929,145,73,72,290,9,,,9
RAJD6729,om shiv mobile choice,9414222668,70,35,35,140,4,,,4
RAJD8813,paras radio,9829302049,130,65,65,260,8,,,8
RAJD8742,life style digital store,9309491700,140,70,70,280,13,,,13
RAJD6851,MITTAL WATCH & MOBILE COLLECTION,7737556161,165,83,82,330,2,,,2
RAJD015227,Saree Mahal,9694133335,125,63,62,250,2,,,2
RAJD5754,MAHARAJA TELECOM,9782308354,65,33,32,130,30,,,30
RAJD006691,GURU KRIPA TELECOM PAOTA,8824242221,135,68,67,270,2,,,2
RAJD16488,JOLLY MOBILE POINT,8426004007,185,93,92,370,0,,,0
RAJD10381,PARAS MOBILE POINT,9983576031,65,33,32,130,13,,,13
RAJD9307,MITTAL COMMUNICATION,9828043999,138,69,68,275,3,,,3
RAJD9359,SHIVAY MOBILE POINT,8058485868,60,30,30,120,3,,,3
RAJD13839,NISHA MOBILE CENTER,9680802076,123,61,61,245,14,,,14
RAJD4415,SHYAM GIFT HOUSE,9680899999,80,40,40,160,11,,,11
RAJD4421,SHARAN MOBILE,9799991011,80,40,40,160,10,,,10
RAJD4439,RAMSINGH MOBILE WORLD,9828058999,80,40,40,160,7,,,7
RAJD4418,SHRI BALAJI MOBILE CENTER,7610020002,110,55,55,220,8,,,8
RAJD009874,MOBILE STORE KOTPUTLI,8104747799,140,70,70,280,7,,,7
RAJD013103,raj communication,9001478123,80,40,40,160,5,,,5
RAJD12813,Neelkanth Mobile,9829234860,75,38,37,150,18,,,18
RAJD17137,NEW MOBILE HUT,9829682786,213,106,106,425,25,,,25
RAJD2814,Hi Fly,7737158922,140,70,70,280,11,,,11
RAJD2840,Sursansar,9829037664,325,163,162,650,25,,,25
RAJD004497,Nirmala Enterprises,9812979631,75,38,37,150,11,,,11
RAJD018614,Swastik mobiles,9680856032,70,35,35,140,9,,,9
RAJD003727,Bhatia Mobiles,9529155555,245,123,122,490,15,,,15
RAJD10151,OM MOBILES,9982078388,165,83,82,330,1,,,1
RAJD011357,NAIM MOBILE,7229959697,150,75,75,300,0,,,0
RAJD002860,SUMIT INFOTECH,9828718750,185,93,92,370,0,,,0
RAJD14837,SUNNY MOBILE,7014555549,210,105,105,420,0,,,0
RAJD8466,JAIN MUSIC & GIFT PLACE,9214919004,160,80,80,320,15,,,15
RAJD005701,govind vajay,7737696465,118,59,59,236,5,,,5
RAJD13921,R.K.MOBILE SALE & SERVICE,9784411271,88,44,43,175,15,,,15
RAJD17255,Honey Marketing,9782125670,105,53,52,210,3,,,3
RAJD016078,Krishna mobile,9166221599,128,64,63,255,1,,,1
RAJD14206,manoj traders,9784499677,60,30,30,120,9,,,9
RAJD8442,Rawat Mobile Gallary,9079777177,105,53,52,210,7,,,7
RAJD003122,DHURUV ENTERPRISES,8949821337,135,68,67,270,0,,,0
RAJD005955,MANISH ELECTRONICS,9649648080,68,34,33,135,0,,,0
RAJD16305,Om Mobile & Pictures,9983974604,125,63,62,250,4,,,4
RAJD12358,MAHESH MOBILE POINT,7877771717,70,35,35,140,79,,,79
RAJD15700,Lakshmi mobile,7062942400,175,88,87,350,0,,,0
RAJD6156,VISHNU WATCH,9828400800,90,45,45,180,13,,,13
RAJD000364,SHRI ADINATH TELICOM,9982555577,108,54,53,215,12,,,12
RAJD7004,agarwal electronics,9252527777,168,84,83,335,0,,,0
RAJD018280,ANNU ELECTRICALS & MOBILE,9783335258,135,68,67,270,0,,,0
RAJD014301,Ganpati Telecom,7014710043,83,41,41,165,16,,,16
RAJD000282,Kamla Mobile Enterprises,7791869261,80,40,40,160,7,,,7
RAJD018363,GAYATRI MOBILE,7790955806,55,28,27,110,24,,,24
RAJD003087,Shri Ram Mobile Point,9785985140,130,65,65,260,6,,,6
