szd,asm,mdd,tse,dealer
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD002343
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD003740
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD017064
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD15142
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD3819
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD008490
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD006525
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD008416
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD0792
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD15340
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD14358
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD015690
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD0790
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD006436
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD008147
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD011602
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD002738
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD016469
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD6682
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD001895
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD6496
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD015677
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD015735
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD009908
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD004395
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD008015
SID-CORP-SZD-01,SID005,4782323,RAJF0000001,RAJD10674
SID-CORP-SZD-01,SID001,4782323,RAJF001262,RAJD015379
SID-CORP-SZD-01,SID001,4782323,RAJF001262,RAJD018333
